date,ticker,price,volume
2023-01-01,AAPL,100.9,102270.0
2023-01-02,AAPL,100.79,106066.0
2023-01-03,AAPL,100.01,106060.0
2023-01-04,AAPL,98.87,109492.0
2023-01-05,AAPL,99.99,107502.0
2023-01-06,AAPL,97.34,104435.0
2023-01-07,AAPL,98.45,103649.0
2023-01-08,AAPL,100.38,101046.0
2023-01-09,AAPL,101.57,101038.0
2023-01-10,AAPL,102.85,96739.0
2023-01-11,AAPL,101.86,88163.0
2023-01-12,AAPL,102.19,88177.0
2023-01-13,AAPL,100.12,87267.0
2023-01-14,AAPL,99.77,85878.0
2023-01-15,AAPL,100.22,85462.0
2023-01-16,AAPL,97.25,82890.0
2023-01-17,AAPL,96.91,83035.0
2023-01-18,AAPL,97.7,77997.0
2023-01-19,AAPL,98.8,75638.0
2023-01-20,AAPL,97.93,78161.0
2023-01-21,AAPL,94.84,81055.0
2023-01-22,AAPL,97.03,83231.0
2023-01-23,AAPL,98.34,83534.0
2023-01-24,AAPL,98.88,83027.0
2023-01-25,AAPL,98.66,80969.0
2023-01-26,AAPL,101.8,80777.0
2023-01-27,AAPL,104.36,83566.0
2023-01-28,AAPL,101.17,85139.0
2023-01-29,AAPL,103.41,86699.0
2023-01-30,AAPL,103.4,87465.0
2023-01-31,AAPL,103.4,87429.0
2023-02-01,AAPL,102.4,86363.0
2023-02-02,AAPL,104.66,89981.0
2023-02-03,AAPL,102.66,87998.0
2023-02-04,AAPL,102.47,86793.0
2023-02-05,AAPL,98.91,84870.0
2023-02-06,AAPL,96.82,92826.0
2023-02-07,AAPL,96.76,95679.0
2023-02-08,AAPL,96.55,93704.0
2023-02-09,AAPL,96.02,96382.0
2023-02-10,AAPL,92.57,92708.0
2023-02-11,AAPL,91.55,89537.0
2023-02-12,AAPL,92.05,93708.0
2023-02-13,AAPL,90.04,92772.0
2023-02-14,AAPL,88.72,90205.0
2023-02-15,AAPL,91.31,87976.0
2023-02-16,AAPL,90.22,90686.0
2023-02-17,AAPL,89.36,92009.0
2023-02-18,AAPL,90.01,89432.0
2023-02-19,AAPL,91.08,89126.0
2023-02-20,AAPL,91.73,86028.0
2023-02-21,AAPL,94.07,84862.0
2023-02-22,AAPL,95.94,86263.0
2023-02-23,AAPL,95.72,91948.0
2023-02-24,AAPL,93.37,89968.0
