date,ticker,price,volume
2023-01-01,AAPL,100.9,102270
2023-01-02,AAPL,100.79,106066
2023-01-03,AAPL,100.01,106060
2023-01-04,AAPL,98.87,109492
2023-01-05,AAPL,99.99,107502
2023-01-06,AAPL,97.34,104435
2023-01-07,AAPL,98.45,103649
2023-01-08,AAPL,100.38,101046
2023-01-09,AAPL,101.57,101038
2023-01-10,AAPL,102.85,96739
2023-01-11,AAPL,101.86,88163
2023-01-12,AAPL,102.19,88177
2023-01-13,AAPL,100.12,87267
2023-01-14,AAPL,99.77,85878
2023-01-15,AAPL,100.22,85462
2023-01-16,AAPL,97.25,82890
2023-01-17,AAPL,96.91,83035
2023-01-18,AAPL,97.7,77997
2023-01-19,AAPL,98.8,75638
2023-01-20,AAPL,97.93,78161
2023-01-21,AAPL,94.84,81055
2023-01-22,AAPL,97.03,83231
2023-01-23,AAPL,98.34,83534
2023-01-24,AAPL,98.88,83027
2023-01-25,AAPL,98.66,80969
2023-01-26,AAPL,101.8,80777
2023-01-27,AAPL,104.36,83566
2023-01-28,AAPL,101.17,85139
2023-01-29,AAPL,103.41,86699
2023-01-30,AAPL,103.4,87465
2023-01-31,AAPL,103.4,87429
2023-02-01,AAPL,102.4,86363
2023-02-02,AAPL,104.66,89981
2023-02-03,AAPL,102.66,87998
2023-02-04,AAPL,102.47,86793
2023-02-05,AAPL,98.91,84870
2023-02-06,AAPL,96.82,92826
2023-02-07,AAPL,96.76,95679
2023-02-08,AAPL,96.55,93704
2023-02-09,AAPL,96.02,96382
2023-02-10,AAPL,92.57,92708
2023-02-11,AAPL,91.55,89537
2023-02-12,AAPL,92.05,93708
2023-02-13,AAPL,90.04,92772
2023-02-14,AAPL,88.72,90205
2023-02-15,AAPL,91.31,87976
2023-02-16,AAPL,90.22,90686
2023-02-17,AAPL,89.36,92009
2023-02-18,AAPL,90.01,89432
2023-02-19,AAPL,91.08,89126
2023-02-20,AAPL,91.73,86028
2023-02-21,AAPL,94.07,84862
2023-02-22,AAPL,95.94,86263
2023-02-23,AAPL,95.72,91948
2023-02-24,AAPL,93.37,89968
2023-02-25,AAPL,92.95,87614
2023-02-26,AAPL,92.47,87326
2023-02-27,AAPL,92.95,88135
2023-02-28,AAPL,94.97,87358
2023-03-01,AAPL,100.17,85930
2023-03-02,AAPL,96.45,85796
2023-03-03,AAPL,95.17,85994
2023-03-04,AAPL,96.92,86569
2023-03-05,AAPL,95.36,85900
2023-03-06,AAPL,96.52,82797
2023-03-07,AAPL,95.73,85067
2023-03-08,AAPL,97.54,84675
2023-03-09,AAPL,101.38,85609
2023-03-10,AAPL,100.35,80921
2023-03-11,AAPL,98.05,81423
2023-03-12,AAPL,94.38,79135
2023-03-13,AAPL,97.33,77839
2023-03-14,AAPL,96.94,76823
2023-03-15,AAPL,94.89,74159
2023-03-16,AAPL,95.19,75716
2023-03-17,AAPL,94.79,77103
2023-03-18,AAPL,97.06,79488
2023-03-19,AAPL,100.55,86679
2023-03-20,AAPL,97.98,89873
2023-03-21,AAPL,96.39,92177
2023-03-22,AAPL,93.16,91923
2023-03-23,AAPL,95.16,94095
2023-03-24,AAPL,95.36,93902
2023-03-25,AAPL,95.74,92031
2023-03-26,AAPL,93.65,92003
2023-03-27,AAPL,95.23,94007
2023-03-28,AAPL,92.88,95565
2023-03-29,AAPL,91.18,96103
2023-03-30,AAPL,93.02,98213
2023-03-31,AAPL,91.06,100297
2023-04-01,AAPL,90.14,100921
2023-04-02,AAPL,89.74,102803
2023-04-03,AAPL,89.64,100956
2023-04-04,AAPL,89.48,102607
2023-04-05,AAPL,86.67,98296
2023-04-06,AAPL,86.4,97816
2023-04-07,AAPL,83.91,99661
2023-04-08,AAPL,85.91,101707
2023-04-09,AAPL,83.38,103221
2023-04-10,AAPL,82.37,101922
2023-04-11,AAPL,86.15,101233
2023-04-12,AAPL,88.93,104792
2023-04-13,AAPL,91.42,108022
2023-04-14,AAPL,94.32,108905
2023-04-15,AAPL,97.03,114035
2023-04-16,AAPL,97.34,115454
2023-04-17,AAPL,94.08,113568
2023-04-18,AAPL,91.91,114497
2023-04-19,AAPL,91.82,107251
2023-04-20,AAPL,93.12,101281
2023-04-21,AAPL,90.12,107679
2023-04-22,AAPL,92.44,105830
2023-04-23,AAPL,93.48,108473
2023-04-24,AAPL,94.33,108815
2023-04-25,AAPL,94.25,105552
2023-04-26,AAPL,92.2,105341
2023-04-27,AAPL,90.9,106824
2023-04-28,AAPL,91.85,104970
2023-04-29,AAPL,88.43,112147
2023-04-30,AAPL,86.1,111801
2023-05-01,AAPL,86.91,114823
2023-05-02,AAPL,85.43,115965
2023-05-03,AAPL,86.58,114445
2023-05-04,AAPL,88.04,121455
2023-05-05,AAPL,88.71,121327
2023-05-06,AAPL,85.19,125678
2023-05-07,AAPL,85.44,123872
2023-05-08,AAPL,83.52,128639
2023-05-09,AAPL,82.02,132677
2023-05-10,AAPL,83.32,131702
2023-05-11,AAPL,82.12,130660
2023-05-12,AAPL,81.64,130156
2023-05-13,AAPL,86.11,129961
2023-05-14,AAPL,84.22,129902
2023-05-15,AAPL,82.56,129855
2023-05-16,AAPL,83.75,132620
2023-05-17,AAPL,82.24,133656
2023-05-18,AAPL,81.27,141414
2023-05-19,AAPL,78.85,139457
2023-05-20,AAPL,79.25,141157
2023-05-21,AAPL,78.28,143547
2023-05-22,AAPL,81.15,143599
2023-05-23,AAPL,78.27,143647
2023-05-24,AAPL,76.46,145729
2023-05-25,AAPL,75.93,148875
2023-05-26,AAPL,76.91,149317
2023-05-27,AAPL,74.72,148156
2023-05-28,AAPL,72.73,146874
2023-05-29,AAPL,72.23,143311
2023-05-30,AAPL,68.98,146221
2023-05-31,AAPL,67.89,145160
2023-06-01,AAPL,71.04,145483
2023-06-02,AAPL,74.61,147253
2023-06-03,AAPL,74.31,147672
2023-06-04,AAPL,71.81,143837
2023-06-05,AAPL,71.59,141308
2023-06-06,AAPL,70.07,140653
2023-06-07,AAPL,71.73,138792
2023-06-08,AAPL,67.91,137165
2023-06-09,AAPL,70.35,138154
2023-06-10,AAPL,70.06,137530
2023-06-11,AAPL,67.95,142529
2023-06-12,AAPL,65.56,140283
2023-06-13,AAPL,65.8,139804
2023-06-14,AAPL,64.13,135748
2023-06-15,AAPL,63.95,137390
2023-06-16,AAPL,63.93,136818
2023-06-17,AAPL,64.23,134549
2023-06-18,AAPL,61.74,134182
2023-06-19,AAPL,64.49,133978
2023-06-20,AAPL,64.31,131984
2023-06-21,AAPL,64.93,137239
2023-06-22,AAPL,65.22,141854
2023-06-23,AAPL,67.27,139134
2023-06-24,AAPL,65.96,143712
2023-06-25,AAPL,64.01,143104
2023-06-26,AAPL,63.85,145814
2023-06-27,AAPL,64.26,142134
2023-06-28,AAPL,66.46,146628
2023-06-29,AAPL,66.88,147883
2023-06-30,AAPL,67.07,154268
2023-07-01,AAPL,68.49,151886
2023-07-02,AAPL,68.63,148773
2023-07-03,AAPL,70.62,148079
2023-07-04,AAPL,70.49,139993
2023-07-05,AAPL,73.87,138607
2023-07-06,AAPL,72.77,134721
2023-07-07,AAPL,72.91,133265
2023-07-08,AAPL,72.04,132615
2023-07-09,AAPL,75.21,135745
2023-07-10,AAPL,69.1,137884
2023-07-11,AAPL,67.5,137307
2023-07-12,AAPL,65.88,137857
2023-07-13,AAPL,65.06,147984
2023-07-14,AAPL,67.06,147050
2023-07-15,AAPL,67.37,146024
2023-07-16,AAPL,66.69,141638
2023-07-17,AAPL,63.18,141767
2023-07-18,AAPL,63.53,137449
2023-07-19,AAPL,66.26,136907
2023-07-20,AAPL,62.68,140182
2023-07-21,AAPL,59.22,138127
2023-07-22,AAPL,58.57,137461
2023-07-23,AAPL,61.74,138441
2023-07-24,AAPL,61.5,139462
2023-07-25,AAPL,66.08,138893
2023-07-26,AAPL,65.8,138830
2023-07-27,AAPL,68.65,137920
2023-07-28,AAPL,70.76,140248
2023-07-29,AAPL,69.98,141617
2023-07-30,AAPL,66.93,140861
2023-07-31,AAPL,66.35,139725
2023-08-01,AAPL,67.06,135785
2023-08-02,AAPL,71.24,134864
2023-08-03,AAPL,70.19,135937
2023-08-04,AAPL,70.82,135381
2023-08-05,AAPL,73.34,136703
2023-08-06,AAPL,75.76,135712
2023-08-07,AAPL,74.92,136232
2023-08-08,AAPL,74.05,132568
2023-08-09,AAPL,71.39,134629
2023-08-10,AAPL,72.05,132869
2023-08-11,AAPL,70.9,134991
2023-08-12,AAPL,69.08,139212
2023-08-13,AAPL,67.39,136907
2023-08-14,AAPL,67.08,138704
2023-08-15,AAPL,64.56,142789
2023-08-16,AAPL,63.72,141021
2023-08-17,AAPL,64.72,139921
2023-08-18,AAPL,64.37,142574
2023-08-19,AAPL,63.82,147633
2023-08-20,AAPL,64.05,144559
2023-08-21,AAPL,61.79,146449
2023-08-22,AAPL,61.66,148298
2023-08-23,AAPL,61.63,145695
2023-08-24,AAPL,61.48,149222
2023-08-25,AAPL,56.41,153671
2023-08-26,AAPL,55.9,149703
2023-08-27,AAPL,56.18,151404
2023-08-28,AAPL,59.62,150323
2023-08-29,AAPL,60.72,143721
2023-08-30,AAPL,57.7,144523
2023-08-31,AAPL,58.14,143515
2023-09-01,AAPL,58.9,142567
2023-09-02,AAPL,58.18,145786
2023-09-03,AAPL,60.79,147691
2023-09-04,AAPL,61.58,144602
2023-09-05,AAPL,60.53,148173
2023-09-06,AAPL,58.6,150473
2023-09-07,AAPL,57.86,149621
2023-09-08,AAPL,58.54,145800
2023-09-09,AAPL,57.41,142850
2023-09-10,AAPL,52.53,145223
2023-09-11,AAPL,55.12,149796
2023-09-12,AAPL,53.79,150436
2023-09-13,AAPL,54.06,147476
2023-09-14,AAPL,52.87,141896
2023-09-15,AAPL,50.99,139023
2023-09-16,AAPL,51.68,141406
2023-09-17,AAPL,50.04,135251
2023-09-18,AAPL,48.42,133795
2023-09-19,AAPL,47.32,139046
2023-09-20,AAPL,50.6,136270
2023-09-21,AAPL,51.5,132528
2023-09-22,AAPL,51.83,136949
2023-09-23,AAPL,51.18,138581
2023-09-24,AAPL,50.62,145524
2023-09-25,AAPL,49.65,149618
2023-09-26,AAPL,49.35,146763
2023-09-27,AAPL,46.05,148681
2023-09-28,AAPL,45.91,149281
2023-09-29,AAPL,47.4,148125
2023-09-30,AAPL,48.2,154441
2023-10-01,AAPL,44.84,149909
2023-10-02,AAPL,45.91,143208
2023-10-03,AAPL,46.18,151906
2023-10-04,AAPL,45.01,150649
2023-10-05,AAPL,43.88,153156
2023-10-06,AAPL,43.4,152859
2023-10-07,AAPL,38.72,153888
2023-10-08,AAPL,38.83,156708
2023-10-09,AAPL,43.97,158010
2023-10-10,AAPL,44.12,153691
2023-10-11,AAPL,42.22,152903
2023-10-12,AAPL,40.68,156485
2023-10-13,AAPL,41.1,152514
2023-10-14,AAPL,41.7,155931
2023-10-15,AAPL,41.12,154182
2023-10-16,AAPL,41.68,149289
2023-10-17,AAPL,44.06,153422
2023-10-18,AAPL,44.59,154341
2023-10-19,AAPL,49.73,156302
2023-10-20,AAPL,50.99,157442
2023-10-21,AAPL,51.98,155060
2023-10-22,AAPL,52.42,154744
2023-10-23,AAPL,54.33,150946
2023-10-24,AAPL,49.51,154613
2023-10-25,AAPL,48.96,159453
2023-10-26,AAPL,50.38,162041
2023-10-27,AAPL,50.26,167594
2023-10-28,AAPL,47.22,161737
2023-10-29,AAPL,46.09,164402
2023-10-30,AAPL,48.53,169621
2023-10-31,AAPL,48.42,168563
2023-11-01,AAPL,48.9,170161
2023-11-02,AAPL,48.73,171903
2023-11-03,AAPL,51.36,174919
2023-11-04,AAPL,50.69,178454
2023-11-05,AAPL,50.08,179074
2023-11-06,AAPL,48.59,176684
2023-11-07,AAPL,46.18,181165
2023-11-08,AAPL,45.77,186565
2023-11-09,AAPL,45.5,188838
2023-11-10,AAPL,45.4,192172
2023-11-11,AAPL,46.01,191495
2023-11-12,AAPL,47.92,188059
2023-11-13,AAPL,47.38,193263
2023-11-14,AAPL,45.33,191783
2023-11-15,AAPL,47.36,194199
2023-11-16,AAPL,45.13,196433
2023-11-17,AAPL,44.31,194884
2023-11-18,AAPL,44.71,190941
2023-11-19,AAPL,46.73,193264
2023-11-20,AAPL,43.69,194339
2023-11-21,AAPL,41.43,194669
2023-11-22,AAPL,41.92,186895
2023-11-23,AAPL,47.61,187209
2023-11-24,AAPL,43.12,186744
2023-11-25,AAPL,39.9,187773
2023-11-26,AAPL,41.76,190332
2023-11-27,AAPL,39.54,191842
2023-11-28,AAPL,42.73,192219
2023-11-29,AAPL,44.7,190991
2023-11-30,AAPL,44.32,192211
2023-12-01,AAPL,44.4,188697
2023-12-02,AAPL,45.45,186698
2023-12-03,AAPL,45.06,182829
2023-12-04,AAPL,45.77,181728
2023-12-05,AAPL,45.17,183251
2023-12-06,AAPL,44.6,182036
2023-12-07,AAPL,44.87,182169
2023-12-08,AAPL,43.43,186462
2023-12-09,AAPL,40.0,183541
2023-12-10,AAPL,40.17,179153
2023-12-11,AAPL,39.62,179566
2023-12-12,AAPL,40.22,177294
2023-12-13,AAPL,41.4,175428
2023-12-14,AAPL,38.44,175943
2023-12-15,AAPL,38.62,179014
2023-12-16,AAPL,38.35,178396
2023-12-17,AAPL,35.99,176929
2023-12-18,AAPL,37.59,173845
2023-12-19,AAPL,37.91,177838
2023-12-20,AAPL,39.25,176956
2023-12-21,AAPL,41.69,170645
2023-12-22,AAPL,39.82,175396
2023-12-23,AAPL,37.6,179758
2023-12-24,AAPL,37.65,176524
2023-12-25,AAPL,35.83,176924
2023-12-26,AAPL,34.36,179141
2023-12-27,AAPL,36.95,181393
2023-12-28,AAPL,34.58,179104
2023-12-29,AAPL,35.34,178453
2023-12-30,AAPL,33.39,178185
2023-12-31,AAPL,34.35,174251
2024-01-01,AAPL,35.28,173479
2024-01-02,AAPL,31.81,175134
2024-01-03,AAPL,31.2,174872
2024-01-04,AAPL,31.95,177357
2024-01-05,AAPL,29.67,175244
2024-01-06,AAPL,28.4,174967
2024-01-07,AAPL,29.37,175955
2024-01-08,AAPL,29.34,172125
2024-01-09,AAPL,26.87,175556
2024-01-10,AAPL,26.67,175226
2024-01-11,AAPL,26.36,172962
2024-01-12,AAPL,25.03,175929
2024-01-13,AAPL,21.96,172849
